Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
R-40 S2				['6719.24']					['870']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-60				['7228.17']		['1360.9']	['5 in']		['1350.9']							['7228.17', '7231']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
APCO-1				['6367.53']		['19.7']	['2 in']		['14.7']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAO-3a				['6609.1']		['14.7']	['2 in']		['14.7']							['6609.1']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
PCAO-7a						['25']	['4 in']		['19.7']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
MCA-2						['65']	['2.1 in']		['60']				['Qal']			['6839.6']	Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-55 S1				['6533.86']					['880.6']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-28				['6728.61']		['980.3']	['4.5 in']		['958.1']							['6730.7']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
18-MW-12				['6725.7']													Ground Elevation- MW
18-MW-18				['6654.7']		['23']	['2 in']		['23']							['6654.7']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-39			['-106.2345515', '-106.234551', '-106.234551000000', '-106.234551500000']	['6580.86']		['875.57', '875.6']	['5 in']	['859.03']	['869.03', '869']							['6580.86']	Longitude- MW, Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW, Longitude- MW, Longitude- CD, Longitude- CD
R-20 S2		['35.8363447', '35.836345', '35.836344700000', '35.836345000000']		['6694.35']					['1154.7']								Latitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Latitude- MW, Latitude- CD, Latitude- CD
R-14 S1			['-106.2856454', '-106.285645', '-106.285645400000', '-106.285645000000']	['7062.08']					['1233.2']								Longitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Longitude- MW, Longitude- CD, Longitude- CD
R-22 OB	['Regional']	['35.829246499999996', '35.829246500000']		['6650.5']													Aquifer- MW, Latitude- MW, Ground Elevation- MW, Latitude- CD
SCA-2				['6749.08']		['15.6']	['2 in']		['15']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAO-1				['6836.24']		['28']	['3 in']		['28']				['Qal']				Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-3				['6395.88']		['1006.8']	['5 in']		['995']				['Tsf']			['6395.88']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-22 S1		['35.829246499999996', '35.829246', '35.829246500000']		['6650.5']					['914.2']								Latitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Latitude- MW, Latitude- CD
R-23i S1				['6527.88']					['420']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-17 S1				['6921.51']					['1080']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-9				['6382.8']		['758']	['4.5 in']		['748.5']				['Tsfb']			['6382.8']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, Geologic Unit Code- MW, TOC Elevation- MW
R-44 S1				['6714.91']					['905']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-10 S2				['6362.31']					['1065']								Ground Elevation- MW, Screen Bottom [ft]- MW
SCPZ-11(A)		['35.8736506', '35.873650600000']															Latitude- MW, Latitude- CD
R-61 S1				['6940.12']					['1135']								Ground Elevation- MW, Screen Bottom [ft]- MW
